the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
driveway  #4818  n. （从建筑物，住房，车库等通往大路的）私人车道
charm  #4819  n. 魅力，吸引力；魔力 vt. 使陶醉；行魔法 vi. 有魔力；用符咒
sexuality  #4820  n. [胚] 性别；性欲；性征；性方面的事情（比如性行为或性能力）
loyal  #4821  adj. 忠诚的，忠心的；忠贞的 n. 效忠的臣民；忠实信徒 n. (Loyal)人名；(英、德、西、匈、法)洛亚尔
clay  #4822  n. [土壤] 粘土；泥土；肉体；似黏土的东西 vt. 用黏土处理 n. (Clay)人名；(英、法、西、意、葡)克莱
pound  #4823  n. 英镑；重击，重击声；兽栏；拘留所 vt. 捣烂；敲打；监禁，拘留 vi. 连续重击，猛击 n. (Pound)人名；(英)庞德
balloon  #4824  vi. 激增；膨胀如气球 n. 气球 vt. 使像气球般鼓起；使激增 adj. 像气球般鼓起的 n. (Balloon)人名；(法)巴隆
invention  #4825  n. 发明；发明物；虚构；发明才能
ego  #4826  n. 自我；自负；自我意识 n. (Ego)人名；(日)依怙 (姓)；(法)埃戈
fare  #4827  vi. 经营；进展；遭遇；过活 n. 票价；费用；旅客；食物 n. (Fare)人名；(瑞典)法勒；(法、意)法尔
homework  #4828  n. 家庭作业，课外作业
disc  #4829  n. 圆盘，[电子] 唱片（等于disk） vt. 灌唱片
sofa  #4830  n. 沙发；长椅 n. (Sofa)人名；(塞)索法
guarantee  #4831  n. 保证；担保；保证人；保证书；抵押品 vt. 保证；担保
availability  #4832  n. 可用性；有效性；实用性
radar  #4833  n. [雷达] 雷达，无线电探测器 n. (Radar)人名；(塞)拉达尔
frown  #4834  vi. 皱眉；不同意 vt. 皱眉，蹙额 n. 皱眉，蹙额
regain  #4835  vt. 恢复；重新获得；收回 vi. 上涨 n. 收复；取回
leave  #4836  vt. 离开；留下；遗忘；委托 vi. 离开，出发；留下 n. 许可，同意；休假
permit  #4837  vi. 许可；允许 vt. 许可；允许 n. 许可证，执照
sweater  #4838  n. 毛线衣，运动衫；大量出汗的人，发汗剂
rehabilitation  #4839  n. 复原
rubber  #4840  n. 橡胶；橡皮；合成橡胶；按摩师；避孕套 adj. 橡胶制成的 vt. 涂橡胶于；用橡胶制造 vi. 扭转脖子看；好奇地引颈而望 n. (Rubber)人名；(西)鲁韦尔
retreat  #4841  n. 撤退；休息寓所；撤退 vi. 撤退；退避；向后倾 vt. 退（棋）；使后退
molecule  #4842  n. [化学] 分子；微小颗粒，微粒
freely  #4843  adv. 自由地；免费地；大量地；慷慨地；直率地
favorable  #4844  adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
steadily  #4845  adv. 稳定地；稳固地；有规则地
veteran  #4846  n. 老兵；老手；富有经验的人；老运动员 adj. 经验丰富的；老兵的
integrated  #4847  adj. 综合的；完整的；互相协调的 v. 整合；使…成整体（integrate的过去分词）
ha  #4848  int. 哈！（表示惊异，愉快，怀疑，胜利等） abbr. 一种元素(hahnium,原子序105) n. (Ha)人名；(德)哈；(日)巴 (姓)
youngster  #4849  n. 年轻人；少年
broadcast  #4850  vt. 播送，播放；（无线电或电视）广播；播撒（种子） vi. 广播，播送；播放 n. 广播；播音；广播节目 adj. 广播的
premium  #4851  n. 额外费用；奖金；保险费;(商)溢价 adj. 高价的；优质的
accountability  #4852  n. 有义务；有责任；可说明性
overwhelm  #4853  vt. 淹没；压倒；受打击；覆盖；压垮
one-third  #4854  三分之一
contemplate  #4855  vt. 沉思；注视；思忖；预期 vi. 冥思苦想；深思熟虑
update  #4856  vt. 更新；校正，修正；使现代化 n. 更新；现代化
spark  #4857  n. 火花；朝气；闪光 vt. 发动；鼓舞；求婚 vi. 闪烁；发火花；求婚 n. (Spark)人名；(俄)斯帕克
ironically  #4858  adv. 讽刺地；说反话地
fatigue  #4859  n. 疲劳，疲乏；杂役 vt. 使疲劳；使心智衰弱 vi. 疲劳 adj. 疲劳的
beyond  #4860  prep. 超过；越过；那一边；在...较远的一边 adv. 在远处；在更远处 n. 远处
speculate  #4861  vi. 推测；投机；思索 vt. 推断
marker  #4862  n. 记分员；书签；标识物；作记号的人 n. (Marker)人名；(英、德、法、塞、瑞典)马克
low  #4863  adj. 低的，浅的；卑贱的；粗俗的；消沉的 adv. 低声地；谦卑地，低下地 n. 低；低价；低点；牛叫声 vi. 牛叫 n. (Low)人名；(英、德)洛
preach  #4864  vt. 说教；讲道；鼓吹；传道；反复灌输 vi. 说教；讲道；鼓吹；宣扬 n. 说教
bucket  #4865  n. 桶，水桶；铲斗；一桶的量 v. 倾盆而下；颠簸着行进 n. (Bucket)人名；(德)布克特
bomb  #4866  vt. 轰炸，投弹于 vi. 轰炸，投弹；失败 n. 炸弹
blond  #4867  adj. 金发的 n. 白肤碧眼金发的人 n. (Blond)人名；(英、西)布朗德；(法)布隆；(德)布隆德
confession  #4868  n. 忏悔，告解；供认；表白
provoke  #4869  vt. 驱使；激怒；煽动；惹起
marble  #4870  n. 大理石；大理石制品；弹珠 adj. 大理石的；冷酷无情的 n. (Marble)人名；(英)马布尔
substantially  #4871  adv. 实质上；大体上；充分地
twist  #4872  vt. 捻；拧；扭伤；编织；使苦恼 n. 扭曲；拧；扭伤 vi. 扭动；弯曲 n. (Twist)人名；(英)特威斯特
defender  #4873  n. 防卫者，守卫者；辩护者；拥护者；卫冕者
fish  #4874  vi. 捕鱼，钓鱼；用钩捞取 n. 鱼，鱼类 vt. 钓鱼，捕鱼；搜寻 n. (Fish)人名；(英、西)菲什；(俄)菲施
explicit  #4875  adj. 明确的；清楚的；直率的；详述的
transport  #4876  n. 运输；运输机；狂喜；流放犯 vt. 运输；流放；使狂喜
disturbing  #4877  adj. 令人不安的；烦扰的 v. 干扰；打断（disturb的ing形式）
surveillance  #4878  n. 监督；监视
magnetic  #4879  adj. 地磁的；有磁性的；有吸引力的
technician  #4880  n. 技师，技术员；技巧纯熟的人
mutter  #4881  vi. 咕哝；喃喃自语 vt. 咕哝；抱怨地说；低声含糊地说 n. 咕哝；喃喃低语 n. (Mutter)人名；(法)米泰；(德、匈、西)穆特；(英)马特
devastating  #4882  adj. 毁灭性的；全然的 v. 摧毁（devastate的ing形式）；毁坏
depart  #4883  vi. 离开；出发，起程；违反；去世 adj. 逝世的
arrow  #4884  n. 箭，箭头；箭状物；箭头记号 vt. 以箭头指示；箭一般地飞向 n. (Arrow)人名；(英)阿罗
trauma  #4885  n. [外科] 创伤（由心理创伤造成精神上的异常）；外伤 n. (Trauma)人名；(西)特劳马
neighboring  #4886  adj. 邻近的；附近的（等于neighbouring） v. 与…为邻；位于附近（neighbor的ing形式）
soak  #4887  vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透 vi. 浸泡；渗透 n. 浸；湿透；大雨
ribbon  #4888  n. 带；缎带；（勋章等的）绶带；带状物；勋表 vi. 形成带状 vt. 把…撕成条带；用缎带装饰
meantime  #4889  n. 其时，其间 adv. 同时；其间
transmit  #4890  vt. 传输；传播；发射；传达；遗传 vi. 传输；发射信号
screen  #4891  n. 屏，幕；屏风 vt. 筛；拍摄；放映；掩蔽 vi. 拍电影 n. (Screen)人名；(英)斯克林
harvest  #4892  n. 收获；产量；结果 vt. 收割；得到 vi. 收割庄稼
consecutive  #4893  adj. 连贯的；连续不断的
republican  #4894  adj. 共和国的；共和政体的；共和主义的；拥护共和政体的 n. 共和主义者
coordinate  #4895  n. 坐标；同等的人或物 adj. 并列的；同等的 vt. 调整；整合 vi. 协调
worldwide  #4896  adj. 全世界的 adv. 在世界各地
within  #4897  prep. 在…之内 adv. 在内部 n. 里面
spy  #4898  vt. 侦察；发现；暗中监视 vi. 侦察；当间谍 n. 间谍；密探
slot  #4899  n. 位置；狭槽；水沟；硬币投币口 vt. 跟踪；开槽于 n. (Slot)人名；(英、荷)斯洛特
riot  #4900  n. 暴乱；放纵；蔓延 vi. 骚乱；放荡 vt. 浪费，挥霍 n. (Riot)人名；(法)里奥；(西)里奥特
nutrient  #4901  n. 营养物；滋养物 adj. 营养的；滋养的
citizenship  #4902  n. [法] 公民身份，公民资格；国籍；公民权
severely  #4903  adv. 严重地；严格地，严厉地；纯朴地
sovereignty  #4904  n. 主权；主权国家；君主；独立国
ridge  #4905  n. 山脊；山脉；屋脊 vt. 使成脊状；作垄 vi. 成脊状 n. (Ridge)人名；(英)里奇
brave  #4906  adj. 勇敢的；华丽的 vt. 勇敢地面对 n. 勇士 n. (Brave)人名；(英)布雷夫；(俄)布拉韦
lighting  #4907  n. 照明设备，舞台灯光 v. 照明；点燃（light的ing形式）
specify  #4908  vt. 指定；详细说明；列举；把…列入说明书
contributor  #4909  n. 贡献者；投稿者；捐助者
frustrate  #4910  vt. 挫败；阻挠；使感到灰心 vi. 失败；受挫 adj. 挫败的；无益的
crowd  #4911  n. 群众,一伙;一堆,许多,大众 v. 拥挤,挤满,挤进 vt. 挤满,将...塞进;催促,催逼 vi. 挤,拥挤,聚集
articulate  #4912  vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯 vi. 发音；清楚地讲话；用关节连接起来 adj. 发音清晰的；口才好的；有关节的 n. 【动物学】有节体的动物
importantly  #4913  adv. 重要地；大量地；有名望地；自命不凡地
transit  #4914  n. 运输；经过 vt. 运送 vi. 经过
dense  #4915  adj. 稠密的；浓厚的；愚钝的
seminar  #4916  n. 讨论会，研讨班
electronics  #4917  n. 电子学；电子工业
sunny  #4918  adj. 阳光充足的，和煦的；快活的；性情开朗的
shorts  #4919  n. 短裤 n. (Shorts)人名；(英)肖茨
swell  #4920  vi. 膨胀；肿胀；隆起 vt. 使膨胀；使隆起 n. 肿胀；隆起 adj. 漂亮的；一流的 n. (Swell)人名；(英)斯韦尔
accusation  #4921  n. 控告，指控；谴责
soften  #4922  vt. 使温和；使缓和；使变柔软 vi. 减轻；变柔和；变柔软
photograph  #4923  vt. 为…拍照；使深深印入 vi. 拍照；在照片上显得 n. 照片，相片
straighten  #4924  vt. 整顿；使…改正；使…挺直；使…好转 vi. 变直；好转
terribly  #4925  adv. 非常；可怕地；极度地
cue  #4926  n. 提示，暗示；线索 vt. 给…暗示 n. (Cue)人名；(西)库埃
sudden  #4927  adj. 突然的，意外的；快速的 n. 突然发生的事
bride  #4928  n. 新娘；姑娘，女朋友 n. (Bride)人名；(英)布赖德；(法)布里德
biography  #4929  n. 传记；档案；个人简介
hazard  #4930  vt. 赌运气；冒…的危险，使遭受危险 n. 危险，冒险；冒险的事 n. (Hazard)人名；(法)阿扎尔；(英)哈泽德
compelling  #4931  adj. 引人注目的；令人信服的；非常强烈的；不可抗拒的 v. 强迫；以强力获得（compel的ing形式）
seldom  #4932  adv. 很少，不常
tile  #4933  n. 瓷砖，瓦片 vt. 铺以瓦；铺以瓷砖 n. (Tile)人名；(俄、塞、萨摩)蒂勒
economically  #4934  adv. 经济地；在经济上；节俭地
honestly  #4935  adv. 真诚地；公正地
troubled  #4936  adj. 动乱的，不安的；混乱的；困惑的
bow  #4937  n. 弓；鞠躬；船首 vi. 鞠躬；弯腰 vt. 鞠躬；弯腰 adj. 弯曲的 n. (Bow)人名；(东南亚国家华语)茂；(英)鲍
twentieth  #4938  n. 二十分之一 adj. 第二十的；二十分之一的 num. 第二十
balanced  #4939  adj. 平衡的；和谐的；安定的 v. 用天平称；保持稳定；使…相称（balance的过去分词）
foreigner  #4940  n. 外地人，外国人
launch  #4941  vt. 发射（导弹、火箭等）；发起，发动；使…下水 vi. 开始；下水；起飞 n. 发射；发行，投放市场；下水；汽艇
convenience  #4942  n. 便利；厕所；便利的事物
delight  #4943  n. 高兴 vi. 高兴 vt. 使高兴 n. (Delight)人名；(英)迪莱特
weave  #4944  vt. 编织；编排；使迂回前进 vi. 纺织；编成；迂回行进 n. 织物；织法；编织式样
timber  #4945  n. 木材；木料 n. (Timber)人名；(瑞典)廷贝尔
till  #4946  n. [地理][水文] 冰碛；放钱的抽屉；备用现金 prep. 直到 conj. 直到...为止 vt. 耕种；犁 vi. 耕种；耕耘 n. (Till)人名；(法)蒂伊；(匈、德、捷)蒂尔；(英)蒂尔(女子教名Matilda的昵称)
accurately  #4947  adv. 精确地，准确地
plea  #4948  n. 恳求，请求；辩解，辩护；借口，托辞
bulb  #4949  n. 电灯泡；鳞茎；球状物 vi. 生球茎；膨胀成球状
copy  #4950  vi. 复制；复印；抄袭 vt. 复制；复印；抄袭 n. 副本；一册；摹仿
flying  #4951  adj. 飞行的 n. 飞行 v. 飞（fly的ing形式）
sustainable  #4952  adj. 可以忍受的；足可支撑的；养得起的；可持续的
devil  #4953  n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼 vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮
bolt  #4954  n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷 vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出 vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下 adv. 突然地；像箭似地；直立地
cargo  #4955  n. 货物，船货 n. (Cargo)人名；(英、西)卡戈
spine  #4956  n. 脊柱，脊椎；刺；书脊
seller  #4957  n. 卖方，售货员 n. (Seller)人名；(匈)谢勒；(西)塞列尔
skilled  #4958  adj. 熟练的；有技能的；需要技能的
managing  #4959  adj. 管理的；节约的；爱管闲事的 v. 管理；设法对付（manage的ing形式）
public  #4960  adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所 n. (Public)人名；(英)帕布利克
marine  #4961  adj. 船舶的；海生的；海产的；航海的，海运的 n. 海运业；舰队；水兵；（海军）士兵或军官 n. (Marine)人名；(西)马里内；(英)马林
dock  #4962  n. 码头；船坞；被告席；尾巴的骨肉部分 vt. 使靠码头；剪短 vi. 入船坞 n. （Dock）程序坞 n. （Dock）人名；(老)多；(英、法、瑞典)多克
organized  #4963  adj. 有组织的；安排有秩序的；做事有条理的 v. 组织（organize的过去分词）
fog  #4964  n. 雾；烟雾，尘雾；迷惑 vt. 使模糊；使困惑；以雾笼罩 vi. 被雾笼罩；变模糊 n. (Fog)人名；(丹)福
diplomat  #4965  n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
boring  #4966  adj. 无聊的；令人厌烦的 n. 钻孔 v. 钻孔；使厌烦；挖空（bore的ing形式） n. (Boring)人名；(英、瑞典)博林
sometime  #4967  adv. 改天；来日；在某一时候 adj. 以前的；某一时间的
summary  #4968  adj. 简易的；扼要的 n. 概要，摘要，总结
missionary  #4969  adj. 传教的；传教士的 n. 传教士
epidemic  #4970  adj. 流行的；传染性的 n. 传染病；流行病；风尚等的流行
fatal  #4971  adj. 致命的；重大的；毁灭性的；命中注定的 n. (Fatal)人名；(葡、芬)法塔尔
trim  #4972  vt. 修剪；整理；装点 vi. 削减 n. 修剪；整齐；情形 adj. 整齐的 n. (Trim)人名；(意)特里姆
warehouse  #4973  n. 仓库；货栈；大商店 vt. 储入仓库；以他人名义购进（股票）
accelerate  #4974  vt. 使……加快；使……增速 vi. 加速；促进；增加
butterfly  #4975  n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
bronze  #4976  n. 青铜；古铜色；青铜制品 adj. 青铜色的；青铜制的 vt. 镀青铜于 vi. 变成青铜色，被晒黑 n. (Bronze)人名；(葡)布龙泽
drown  #4977  vt. 淹没；把…淹死 vi. 淹死；溺死 n. (Drown)人名；(英)德朗
inherent  #4978  adj. 固有的；内在的；与生俱来的，遗传的
praise  #4979  n. 赞扬；称赞；荣耀；崇拜 vt. 赞美，歌颂；表扬 vi. 赞美；赞扬
nationwide  #4980  adj. 全国范围的；全国性的 adv. 在全国
spit  #4981  vi. 吐痰；吐口水；发出劈啪声 vt. 吐，吐出；发出；发射 n. 唾液
harvest  #4982  n. 收获；产量；结果 vt. 收割；得到 vi. 收割庄稼
kneel  #4983  vi. 跪下，跪
vacuum  #4984  n. 真空；空间；真空吸尘器 adj. 真空的；利用真空的；产生真空的 vt. 用真空吸尘器清扫
selected  #4985  adj. 挑选出来的
dictate  #4986  vt. 命令；口述；使听写 vi. 口述；听写 n. 命令；指示
stereotype  #4987  vt. 使用铅版；套用老套，使一成不变 n. 陈腔滥调，老套；铅版
sensor  #4988  n. 传感器
laundry  #4989  n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
